"","par","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","treatment"
"424","z[12]",-0.6558729140811,0.00510024954262206,0.696494747888161,-2.19824444849873,-1.09115354953957,-0.572476178199444,-0.1506432893889,0.467232742480138,18648.8836994565,0.999879500669106,5
"425","z[13]",-0.742640593516819,0.00521204341124896,0.66015198283117,-2.23912379175105,-1.14497443905422,-0.659034594784051,-0.259826598224475,0.308707852953871,16042.4914137787,1.00013387957217,5
"426","z[14]",0.593755510117673,0.00347459855317569,0.279097148081296,0.0674485668630105,0.40473755272615,0.586279765233723,0.772240022670715,1.16589365330795,6452.10651722878,1.00040713892384,5
"427","z[15]",1.94310002474847,0.00526637622569123,0.522361998592248,1.05669110759429,1.56934975732432,1.89867021307062,2.26558311304258,3.08842852609415,9838.28471438065,1.0000767887405,5
"428","z[16]",-0.743798056714239,0.00540763298285519,0.662860539190933,-2.24653957508399,-1.14524035035854,-0.657190888548914,-0.257720066609154,0.307807027895456,15025.5339796037,0.999943108285826,5
"429","z[17]",1.93941670085029,0.00528749073910474,0.519849140916899,1.0587006253674,1.57692051907871,1.89251395481449,2.25250440230961,3.09214607068689,9666.19209933774,1.00013455681983,5
"430","z[18]",-0.73725789035016,0.00511484564820203,0.652279207269902,-2.21453665603549,-1.13019935219721,-0.653661610982443,-0.269228417391002,0.314316120047319,16263.0502743006,1.00009628105866,5
"431","z[19]",-0.744100494378203,0.00511268434491166,0.656736688819334,-2.19406025267576,-1.15244959329228,-0.664846087910504,-0.261671984814981,0.311082117697572,16500.0248078093,0.999899073954613,5
"432","z[20]",0.593926283541275,0.00347721563350653,0.280584664193773,0.0653555198511198,0.405189171564359,0.587159750277876,0.77341273770377,1.16393255167385,6511.2536437799,1.00019990571838,5
"433","z[21]",0.0982133045863844,0.00323435456058127,0.336815709598356,-0.609255269411902,-0.10915539456887,0.113071609401803,0.325461601805219,0.716118019706445,10844.497300321,1.00007412993987,5
"434","z[22]",0.867978577445812,0.00388288780178743,0.299085631237392,0.334835258443162,0.660628578473827,0.849738956868304,1.05180510755035,1.49672526751841,5933.0965395833,1.00041441824229,5
"435","z[23]",-0.743824489339198,0.00503709589724934,0.656995701146837,-2.22451493502173,-1.14535988645668,-0.65818416184566,-0.26545252102549,0.302506229704678,17012.3620863825,0.999937385873947,5
"436","z[24]",0.873215293097856,0.00388258655154696,0.299165895832766,0.34239105524319,0.667327237226832,0.85369625235275,1.06112240372296,1.50937387555188,5937.2026858005,1.00013268583273,5
"437","z[25]",-0.746793944102313,0.0051545125820511,0.660905308948771,-2.24195699129903,-1.14957766761925,-0.667127371490634,-0.264443611332042,0.317384257878183,16440.0552553184,1.00012646892149,5
