"","par","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","treatment"
"26","mix[2]",0.0214025570125549,0.0002682522718906,0.0213629846345521,0.000619435022951679,0.00632169708342666,0.0149660552036355,0.0295192556512246,0.0813812518444332,6342.15772835708,0.999923722637519,4
"27","mix[3]",0.0335099303538672,0.000419853152972633,0.0291578183274175,0.00122753188964539,0.0112878804505274,0.0256164401161171,0.0482044181622147,0.106901814512303,4822.97725115973,1.00068529883234,4
"28","mix[4]",0.31498883058943,0.000957619523835517,0.0695167682225399,0.18229591324853,0.267679951248535,0.311005483204148,0.360008864221374,0.456163342477076,5269.78824235437,0.999467998073944,4
"29","mix[5]",0.0199743017278993,0.00030249470221776,0.0196122580819251,0.000577906480649539,0.00589747094521784,0.0142311729358539,0.027793422681239,0.0726210740673821,4203.58325364247,1.0003321684285,4
"30","mix[6]",0.0202138227917871,0.000337814897866558,0.0199462880191758,0.000533473960934767,0.00581261532367143,0.0138590551198209,0.0284637936050526,0.0737796403051094,3486.31460295608,1.00009753962737,4
"31","gamma",0.0963449233163752,9.64533940300052e-05,0.00730535321596022,0.0826998793043829,0.0912712456265099,0.0961019671447836,0.101190680148783,0.110837428901867,5736.50543550932,0.999459934182434,4
"32","lp__",-553.993170441179,0.0536790677256222,1.91016635486113,-558.436546601591,-555.057752930303,-553.650119445985,-552.606800250077,-551.352509931831,1266.2878892924,1.00646942938061,4
"33","mix[1]",0.118145650714989,0.000716329168936613,0.0480623428221504,0.0425728282847316,0.0831051474025075,0.112722267127158,0.147694517485771,0.226588347604763,4501.78346586431,0.999554472314573,5
"34","mix[2]",0.265960575276043,0.00129255876462754,0.090817848758693,0.105087817063242,0.201038750937556,0.259229781345268,0.326544930407463,0.456388728984015,4936.75786744257,0.999723246255226,5
"35","mix[3]",0.227237255538749,0.00120514609222846,0.0941946015116749,0.0573892912181247,0.161669153898372,0.221195356541135,0.289440031971247,0.424288774149763,6109.03527180926,0.999353622339931,5
"36","mix[4]",0.296935089036098,0.00167740312932629,0.110332685581729,0.104736968867799,0.21667154936334,0.289590113537257,0.367749816597348,0.526303074435357,4326.46785128241,0.999313002005117,5
"37","mix[5]",0.0447123390642942,0.000589298226842666,0.0415748338651324,0.00127870288700132,0.0138091476282117,0.032179579215492,0.063400815097432,0.154205169712359,4977.26513859853,1.00018170099254,5
"38","mix[6]",0.0470090903698267,0.000667618591302695,0.0451217255122065,0.00106980655354173,0.0136669034270292,0.0329462321742085,0.0658472818944497,0.170689580278426,4567.87861286934,0.999813901750496,5
"39","gamma",0.0926159120580358,0.000130991390092468,0.0093389619366424,0.0754127759684818,0.0860472868436731,0.0923194548765318,0.0988393872690391,0.111348155924992,5082.90167620625,0.999561394223313,5
"40","lp__",-330.677635530774,0.0497134494066289,1.89286921686227,-335.258245304436,-331.733070702255,-330.324523395915,-329.268182891234,-328.050650223996,1449.75101303611,1.00313279073778,5
"41","mix[1]",0.019806589707928,0.00026788120559151,0.0198569240061829,0.000516556177949503,0.00537144214533269,0.0135381764906463,0.0278466166404163,0.075043920791319,5494.64271335107,0.999484311051002,6
"42","mix[2]",0.113595367411216,0.000967624625301529,0.0695824202051684,0.0171236923714588,0.0614583360946354,0.101580320054026,0.152474898551076,0.281007147319684,5171.12738058256,0.99943711288524,6
"43","mix[3]",0.146930877576126,0.00134209027538506,0.0973871359620415,0.011178433502532,0.0717519062675697,0.12985235883944,0.206500269972869,0.37202994567951,5265.5013545865,0.999559558831105,6
"44","mix[4]",0.455857670037339,0.00148367124684607,0.118908938584061,0.234059188483321,0.368811636527365,0.45415211762937,0.538126064391826,0.68985077174972,6423.23253144896,0.999393081308857,6
"45","mix[5]",0.0559335916734187,0.000776516503951529,0.052360905787407,0.00160082268303939,0.0172737871664534,0.0406087513713931,0.0788994640763391,0.189935946648451,4546.87400928227,1.00027917080455,6
"46","mix[6]",0.207875903593972,0.00162869229577584,0.10844070266456,0.0354269380442287,0.126187477114627,0.197198518555507,0.275870505544616,0.448447111768423,4433.09013883956,0.999571792287454,6
"47","gamma",0.0304646805449581,6.18564527629005e-05,0.0045801666753642,0.0222503411239847,0.027248996295401,0.0301985580713946,0.0334498884258624,0.0400983967099626,5482.67550502411,0.999341455592002,6
"48","lp__",-220.172481035654,0.0468898841528279,1.90387638864091,-224.639952732177,-221.219657038911,-219.822328857133,-218.755391124138,-217.551332098497,1648.61473159019,1.00221326432458,6
